"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment","Commute Time"
"12","Florida","12001","Alachua","2012-2016","6,408","","Commute Time: 45+ minutes"
"12","Florida","12003","Baker","2012-2016","2,836","","Commute Time: 45+ minutes"
"12","Florida","12005","Bay","2012-2016","6,758","","Commute Time: 45+ minutes"
"12","Florida","12007","Bradford","2012-2016","2,646","","Commute Time: 45+ minutes"
"12","Florida","12009","Brevard","2012-2016","23,416","","Commute Time: 45+ minutes"
"12","Florida","12011","Broward","2012-2016","132,304","","Commute Time: 45+ minutes"
"12","Florida","12013","Calhoun","2012-2016","916","","Commute Time: 45+ minutes"
"12","Florida","12015","Charlotte","2012-2016","7,194","","Commute Time: 45+ minutes"
"12","Florida","12017","Citrus","2012-2016","5,467","","Commute Time: 45+ minutes"
"12","Florida","12019","Clay","2012-2016","24,472","","Commute Time: 45+ minutes"
"12","Florida","12021","Collier","2012-2016","13,873","","Commute Time: 45+ minutes"
"12","Florida","12023","Columbia","2012-2016","3,865","","Commute Time: 45+ minutes"
"12","Florida","12027","DeSoto","2012-2016","1,996","","Commute Time: 45+ minutes"
"12","Florida","12029","Dixie","2012-2016","961","","Commute Time: 45+ minutes"
"12","Florida","12031","Duval","2012-2016","31,923","","Commute Time: 45+ minutes"
"12","Florida","12033","Escambia","2012-2016","8,600","","Commute Time: 45+ minutes"
"12","Florida","12035","Flagler","2012-2016","5,096","","Commute Time: 45+ minutes"
"12","Florida","12037","Franklin","2012-2016","345","","Commute Time: 45+ minutes"
"12","Florida","12039","Gadsden","2012-2016","3,273","","Commute Time: 45+ minutes"
"12","Florida","12041","Gilchrist","2012-2016","1,670","","Commute Time: 45+ minutes"
"12","Florida","12043","Glades","2012-2016","371","","Commute Time: 45+ minutes"
"12","Florida","12045","Gulf","2012-2016","760","","Commute Time: 45+ minutes"
"12","Florida","12047","Hamilton","2012-2016","246","","Commute Time: 45+ minutes"
"12","Florida","12049","Hardee","2012-2016","1,508","","Commute Time: 45+ minutes"
"12","Florida","12051","Hendry","2012-2016","2,591","","Commute Time: 45+ minutes"
"12","Florida","12053","Hernando","2012-2016","12,863","","Commute Time: 45+ minutes"
"12","Florida","12055","Highlands","2012-2016","2,638","","Commute Time: 45+ minutes"
"12","Florida","12057","Hillsborough","2012-2016","91,172","","Commute Time: 45+ minutes"
"12","Florida","12059","Holmes","2012-2016","1,330","","Commute Time: 45+ minutes"
"12","Florida","12061","Indian River","2012-2016","4,679","","Commute Time: 45+ minutes"
"12","Florida","12063","Jackson","2012-2016","1,608","","Commute Time: 45+ minutes"
"12","Florida","12065","Jefferson","2012-2016","920","","Commute Time: 45+ minutes"
"12","Florida","12067","Lafayette","2012-2016","473","","Commute Time: 45+ minutes"
"12","Florida","12069","Lake","2012-2016","23,857","","Commute Time: 45+ minutes"
"12","Florida","12071","Lee","2012-2016","38,631","","Commute Time: 45+ minutes"
"12","Florida","12073","Leon","2012-2016","6,140","","Commute Time: 45+ minutes"
"12","Florida","12075","Levy","2012-2016","3,668","","Commute Time: 45+ minutes"
"12","Florida","12077","Liberty","2012-2016","679","","Commute Time: 45+ minutes"
"12","Florida","12079","Madison","2012-2016","1,115","","Commute Time: 45+ minutes"
"12","Florida","12081","Manatee","2012-2016","16,070","","Commute Time: 45+ minutes"
"12","Florida","12083","Marion","2012-2016","12,876","","Commute Time: 45+ minutes"
"12","Florida","12085","Martin","2012-2016","8,647","","Commute Time: 45+ minutes"
"12","Florida","12086","Miami-Dade","2012-2016","218,111","","Commute Time: 45+ minutes"
"12","Florida","12087","Monroe","2012-2016","2,763","","Commute Time: 45+ minutes"
"12","Florida","12089","Nassau","2012-2016","7,252","","Commute Time: 45+ minutes"
"12","Florida","12091","Okaloosa","2012-2016","10,534","","Commute Time: 45+ minutes"
"12","Florida","12093","Okeechobee","2012-2016","1,938","","Commute Time: 45+ minutes"
"12","Florida","12095","Orange","2012-2016","73,041","","Commute Time: 45+ minutes"
"12","Florida","12097","Osceola","2012-2016","28,353","","Commute Time: 45+ minutes"
"12","Florida","12099","Palm Beach","2012-2016","68,239","","Commute Time: 45+ minutes"
"12","Florida","12101","Pasco","2012-2016","45,210","","Commute Time: 45+ minutes"
"12","Florida","12103","Pinellas","2012-2016","44,284","","Commute Time: 45+ minutes"
"12","Florida","12105","Polk","2012-2016","35,201","","Commute Time: 45+ minutes"
"12","Florida","12107","Putnam","2012-2016","5,335","","Commute Time: 45+ minutes"
"12","Florida","12113","Santa Rosa","2012-2016","12,197","","Commute Time: 45+ minutes"
"12","Florida","12115","Sarasota","2012-2016","11,136","","Commute Time: 45+ minutes"
"12","Florida","12117","Seminole","2012-2016","31,018","","Commute Time: 45+ minutes"
"12","Florida","12109","St. Johns","2012-2016","14,038","","Commute Time: 45+ minutes"
"12","Florida","12111","St. Lucie","2012-2016","17,873","","Commute Time: 45+ minutes"
"12","Florida","12119","Sumter","2012-2016","2,884","","Commute Time: 45+ minutes"
"12","Florida","12121","Suwannee","2012-2016","2,534","","Commute Time: 45+ minutes"
"12","Florida","12123","Taylor","2012-2016","869","","Commute Time: 45+ minutes"
"12","Florida","12125","Union","2012-2016","580","","Commute Time: 45+ minutes"
"12","Florida","12127","Volusia","2012-2016","26,258","","Commute Time: 45+ minutes"
"12","Florida","12129","Wakulla","2012-2016","3,391","","Commute Time: 45+ minutes"
"12","Florida","12131","Walton","2012-2016","4,485","","Commute Time: 45+ minutes"
"12","Florida","12133","Washington","2012-2016","2,238","","Commute Time: 45+ minutes"
